gym,timestamp,consumption,MAX
string,datetime,float,float
S,T,,
Mosman,2010-07-02 00:00:00.0,2700.8,
Mosman,2010-07-03 00:00:00.0,,58.3
Mosman,2010-07-04 00:00:00.0,,
Mosman,2010-07-05 00:00:00.0,,
Mosman,2010-07-06 00:00:00.0,,
Mosman,2010-07-07 00:00:00.0,,
Mosman,2010-07-08 00:00:00.0,,
Mosman,2010-07-09 00:00:00.0,,
Mosman,2010-07-10 00:00:00.0,2710.37,65.1
Mosman,2010-07-11 00:00:00.0,,68.0
Mosman,2010-07-12 00:00:00.0,2959.59,
Mosman,2010-07-13 00:00:00.0,,65.1
Mosman,2010-07-14 00:00:00.0,3047.61,65.8
Mosman,2010-07-15 00:00:00.0,,
Mosman,2010-07-30 00:00:00.0,,
Mosman,2010-07-31 00:00:00.0,,
Mosman,2010-08-01 00:00:00.0,,
Mosman,2010-08-02 00:00:00.0,,
Mosman,2010-08-03 00:00:00.0,,60.3
Mosman,2010-08-04 00:00:00.0,,
Mosman,2010-08-05 00:00:00.0,,
Mosman,2010-08-06 00:00:00.0,,
Mosman,2010-08-07 00:00:00.0,,
Mosman,2010-08-08 00:00:00.0,2522.64,
Mosman,2010-08-09 00:00:00.0,,
Mosman,2010-08-10 00:00:00.0,,63.0
Mosman,2010-08-11 00:00:00.0,,65.7
Mosman,2010-08-12 00:00:00.0,,63.0
Mosman,2010-08-13 00:00:00.0,,
Mosman,2010-08-14 00:00:00.0,,
Mosman,2010-08-15 00:00:00.0,,
Mosman,2010-08-16 00:00:00.0,,
Mosman,2010-08-17 00:00:00.0,,
Mosman,2010-08-18 00:00:00.0,,
Mosman,2010-08-19 00:00:00.0,,77.7
Mosman,2010-08-20 00:00:00.0,,
Mosman,2010-08-21 00:00:00.0,,
Mosman,2010-08-22 00:00:00.0,,63.3
Mosman,2010-08-23 00:00:00.0,,
Mosman,2010-08-24 00:00:00.0,,
Mosman,2010-08-25 00:00:00.0,,
Mosman,2010-08-26 00:00:00.0,,
Mosman,2010-08-27 00:00:00.0,,
Mosman,2010-08-28 00:00:00.0,,
Mosman,2010-08-29 00:00:00.0,,63.3
Mosman,2010-08-30 00:00:00.0,,
Mosman,2010-08-31 00:00:00.0,,70.2
Mosman,2010-09-01 00:00:00.0,,
Mosman,2010-09-02 00:00:00.0,3194.21,
Mosman,2010-09-03 00:00:00.0,,
Mosman,2010-09-04 00:00:00.0,,
Mosman,2010-09-05 00:00:00.0,,
Mosman,2010-09-06 00:00:00.0,,
Mosman,2010-09-07 00:00:00.0,,
Mosman,2010-09-08 00:00:00.0,,
Mosman,2010-09-09 00:00:00.0,,
Mosman,2010-09-24 00:00:00.0,,
Mosman,2010-09-25 00:00:00.0,,
Mosman,2010-09-26 00:00:00.0,2762.59,73.9
Mosman,2010-09-27 00:00:00.0,,
Mosman,2010-09-28 00:00:00.0,3242.93,82.8
Mosman,2010-09-29 00:00:00.0,,
Mosman,2010-09-30 00:00:00.0,,
Mosman,2010-10-01 00:00:00.0,,66.2
Mosman,2010-10-02 00:00:00.0,,68.5
Mosman,2010-10-03 00:00:00.0,,
Mosman,2010-10-04 00:00:00.0,,
Mosman,2010-10-05 00:00:00.0,,
Mosman,2010-10-06 00:00:00.0,,
Mosman,2010-10-07 00:00:00.0,,
Mosman,2010-10-08 00:00:00.0,,68.0
Mosman,2010-10-09 00:00:00.0,,
Mosman,2010-10-10 00:00:00.0,2879.26,
Mosman,2010-10-11 00:00:00.0,,
Mosman,2010-10-12 00:00:00.0,,
Mosman,2010-10-13 00:00:00.0,,79.2
Mosman,2010-10-14 00:00:00.0,,80.8
Mosman,2010-10-15 00:00:00.0,,
Mosman,2010-10-16 00:00:00.0,,68.2
Mosman,2010-10-17 00:00:00.0,,
Mosman,2010-10-18 00:00:00.0,,
Mosman,2010-10-19 00:00:00.0,,
Mosman,2010-10-20 00:00:00.0,,
Mosman,2010-10-21 00:00:00.0,,
Mosman,2010-10-22 00:00:00.0,,78.8
Mosman,2010-10-23 00:00:00.0,,
Mosman,2010-10-24 00:00:00.0,2673.55,
Mosman,2010-10-25 00:00:00.0,,
Mosman,2010-10-26 00:00:00.0,,80.6
Mosman,2010-10-27 00:00:00.0,,
Mosman,2010-10-28 00:00:00.0,,
Mosman,2010-10-29 00:00:00.0,,
Mosman,2010-10-30 00:00:00.0,,
Mosman,2010-10-31 00:00:00.0,,
Mosman,2010-11-01 00:00:00.0,,
Mosman,2010-11-02 00:00:00.0,,
Mosman,2010-11-03 00:00:00.0,,72.7
Mosman,2010-11-04 00:00:00.0,,64.0
Mosman,2010-11-05 00:00:00.0,,
Mosman,2010-11-06 00:00:00.0,,68.0
Mosman,2010-11-07 00:00:00.0,,
Mosman,2010-11-08 00:00:00.0,,
Mosman,2010-11-09 00:00:00.0,,
Mosman,2010-11-10 00:00:00.0,,
Mosman,2010-11-11 00:00:00.0,,
Mosman,2010-11-12 00:00:00.0,,
Mosman,2010-11-13 00:00:00.0,,
Mosman,2010-11-14 00:00:00.0,3150.72,
Mosman,2010-11-15 00:00:00.0,3404.93,
Mosman,2010-11-16 00:00:00.0,3417.36,
Mosman,2010-11-17 00:00:00.0,3256.65,
Mosman,2010-11-18 00:00:00.0,,
Mosman,2010-11-19 00:00:00.0,,
Mosman,2010-11-20 00:00:00.0,,
Mosman,2010-11-21 00:00:00.0,,
Mosman,2010-11-22 00:00:00.0,,
Mosman,2010-11-23 00:00:00.0,3574.55,
Mosman,2010-11-24 00:00:00.0,,
Mosman,2010-11-25 00:00:00.0,,
Mosman,2010-11-26 00:00:00.0,,
Mosman,2010-11-27 00:00:00.0,,82.9
Mosman,2010-11-28 00:00:00.0,,
Mosman,2010-11-29 00:00:00.0,,
Mosman,2010-11-30 00:00:00.0,,
Mosman,2010-12-01 00:00:00.0,,71.6
Mosman,2010-12-02 00:00:00.0,,79.0
Mosman,2010-12-03 00:00:00.0,,78.3
Mosman,2010-12-04 00:00:00.0,,
Mosman,2010-12-05 00:00:00.0,,
Mosman,2010-12-06 00:00:00.0,,79.9
Mosman,2010-12-07 00:00:00.0,,
Mosman,2010-12-08 00:00:00.0,,82.4
Mosman,2010-12-09 00:00:00.0,,91.4
Mosman,2010-12-10 00:00:00.0,,85.3
Mosman,2010-12-11 00:00:00.0,,
Mosman,2010-12-12 00:00:00.0,2976.2,
Mosman,2010-12-13 00:00:00.0,3407.33,
Mosman,2010-12-14 00:00:00.0,3624.17,
Mosman,2010-12-15 00:00:00.0,3677.63,
Mosman,2010-12-16 00:00:00.0,,
Mosman,2010-12-17 00:00:00.0,,
Mosman,2010-12-18 00:00:00.0,,
Mosman,2010-12-19 00:00:00.0,2985.09,82.9
Mosman,2010-12-20 00:00:00.0,3231.72,75.2
Mosman,2010-12-21 00:00:00.0,3352.81,
Mosman,2010-12-22 00:00:00.0,,
Mosman,2010-12-23 00:00:00.0,,88.3
Mosman,2010-12-24 00:00:00.0,,
Mosman,2010-12-25 00:00:00.0,,
Mosman,2010-12-26 00:00:00.0,2222.07,90.0
Mosman,2010-12-27 00:00:00.0,,66.7
Mosman,2010-12-28 00:00:00.0,,
Mosman,2010-12-29 00:00:00.0,,81.9
Mosman,2010-12-30 00:00:00.0,,80.6
Mosman,2010-12-31 00:00:00.0,,
